Decision_Area,Decision_Node,Option,Pros,Cons,Risks,Irreversibility_Level,Evidence/Links,Prototype_To_Validate,Owner,Status,Decision_Date
Product,Surface model for MVP,Planner-only MVP,Fastest delivery and clear focus,No Studio learning in MVP,May miss complex planning needs,Medium,docs/constitution/02-product.md;docs/constitution/04-frontend.md,Prototype Today and Week flows with 5 users,Product Lead,Considered,
Product,Surface model for MVP,Planner plus minimal Studio pointers,Validates both surfaces with controlled scope,More build complexity than Planner-only,Scope creep into canvas features,Medium,docs/constitution/02-product.md;docs/constitution/04-frontend.md,Prototype Planner plus pointer-only canvas flow,Product Lead,Recommended (MVP bias),2026-03-02
Product,Surface model for MVP,Full dual-surface day one,Maximum concept validation,Highest engineering and UX load,Delayed launch and quality erosion,High,docs/constitution/02-product.md;docs/constitution/04-frontend.md,End-to-end clickable prototype and feasibility spike,Product Lead,Considered,
Product,Core-loop strictness,Hard sequence gates,Strong loop adherence and cleaner metrics,Can feel rigid for power users,Drop-off if users reject mandatory order,Medium,docs/constitution/01-core.md;docs/constitution/02-product.md,Usability test on constrained loop completion,Product Lead,Considered,
Product,Core-loop strictness,Guided prompts with soft exits,Balanced guidance and autonomy,Needs careful prompt and state design,Inconsistent usage if prompts are weak,Medium,docs/constitution/01-core.md;docs/constitution/02-product.md,Prototype guided flow with recovery prompts,Product Lead,Recommended (MVP bias),2026-03-02
Product,Core-loop strictness,Freeform navigation with optional loop widgets,Maximum flexibility for varied workflows,Weak default habit formation,Lowers measurable loop adherence,Medium,docs/constitution/01-core.md;docs/constitution/02-product.md,User test freeform mode against adherence KPIs,Product Lead,Considered,
Product,Object-model strictness,Strict first-class objects only,Highest consistency and lower data drift,Lower customization ceiling,Power users may feel constrained,High,docs/constitution/01-core.md;docs/constitution/02-product.md,Schema spike and ADR draft,Product Lead,Recommended (MVP bias),2026-03-02
Product,Object-model strictness,First-class objects plus limited custom fields,Adds practical flexibility with governance,Needs migration and validation rules,Schema complexity grows over time,High,docs/constitution/01-core.md;docs/constitution/02-product.md,Prototype custom fields on Task and Goal,Product Lead,Considered,
Product,Object-model strictness,User-defined object types,Maximum extensibility,High complexity and support burden,Everything-app sprawl and model fragmentation,High,docs/constitution/01-core.md;docs/constitution/02-product.md,Feasibility spike with governance model,Product Lead,Considered,
Product,Collaboration rollout scope,Solo-first MVP only,Lower risk and faster MVP,No early collaboration validation,Later redesign cost for sharing primitives,Medium,docs/constitution/02-product.md;docs/constitution/05-backend.md,Solo metrics baseline experiment,Product Lead,Recommended (MVP bias),2026-03-02
Product,Collaboration rollout scope,Role-based sharing in V1,Validates household and small-team use cases,Requires auth and permission groundwork,Permission bugs can harm trust,High,docs/constitution/02-product.md;docs/constitution/05-backend.md,Permissions spike with owner editor viewer flows,Product Lead,Considered,
Product,Collaboration rollout scope,Realtime co-editing in MVP,Strong collaboration differentiator,Large scope and infrastructure load,Conflict and security failure modes,High,docs/constitution/02-product.md;docs/constitution/05-backend.md,Realtime proof-of-concept with conflict tests,Product Lead,Considered,
Design,Token posture,DTCG-aligned semantic tokens now,Best long-term portability and consistency,Higher setup and tooling overhead,Slowdown if pipeline is overengineered,High,docs/constitution/03-design.md;docs/constitution/04-frontend.md;https://www.designtokens.org/TR/drafts/,Two-theme token pipeline spike,Design Lead,Recommended (MVP bias),2026-03-02
Design,Token posture,Semantic tokens internal format first,Faster initial delivery and still structured,Future migration to standard format,Token debt if naming drifts,Medium,docs/constitution/03-design.md;docs/constitution/04-frontend.md,Internal token naming audit and pilot theme,Design Lead,Considered,
Design,Token posture,Raw CSS variables without token governance,Fastest start for early mocks,Weak semantic consistency and reuse,High design-code drift risk,High,docs/constitution/03-design.md;docs/constitution/04-frontend.md,Prototype and measure refactor effort,Design Lead,Considered,
Design,Accessibility baseline and gates,WCAG 2.2 AA with CI checks,Strong quality floor and early defect capture,Requires CI setup and discipline,Initial velocity can dip,High,docs/constitution/03-design.md;docs/constitution/04-frontend.md;https://www.w3.org/TR/WCAG22/,Axe CI plus keyboard walkthrough tests,Design Lead,Recommended (MVP bias),2026-03-02
Design,Accessibility baseline and gates,WCAG 2.2 AA manual audits only,Lower tooling burden,Inconsistent coverage between releases,Critical issues may ship unnoticed,Medium,docs/constitution/03-design.md;docs/constitution/04-frontend.md;https://www.w3.org/TR/WCAG22/,Manual audit checklist on top workflows,Design Lead,Considered,
Design,Accessibility baseline and gates,Accessibility uplift post-MVP,Maximum short-term speed,Deferred quality and compliance debt,High remediation cost and trust risk,High,docs/constitution/03-design.md;docs/constitution/04-frontend.md;https://www.w3.org/TR/WCAG22/,Post-MVP remediation estimation spike,Design Lead,Considered,
Design,Component taxonomy breadth,Lean taxonomy for Planner-first MVP,Faster component delivery and easier governance,May miss edge components later,Rework when expanding surfaces,Medium,docs/constitution/03-design.md;https://www.component.gallery/components/,MVP component inventory and gap test,Design Lead,Recommended (MVP bias),2026-03-02
Design,Component taxonomy breadth,Full taxonomy from doctrine,Better long-term coverage and consistency,Slower to implement upfront,Overbuilding before usage signal,Medium,docs/constitution/03-design.md;https://www.uiguideline.com/components,Effort estimate against release timeline,Design Lead,Considered,
Design,Component taxonomy breadth,Kit-driven ad hoc taxonomy,Rapid prototype assembly,Weak ownership and uneven semantics,Inconsistent UX and maintenance burden,High,docs/constitution/03-design.md;https://www.uiguideline.com/kits,Compare kit output against doctrine taxonomy,Design Lead,Considered,
Design,UI kit adoption policy,Kits for exploration only with in-house production components,Fast ideation without long-term lock-in,Needs deliberate handoff to production library,Prototype to production drift risk,Medium,docs/constitution/03-design.md;https://www.uiguideline.com/kits,Design sprint on two core Planner journeys,Design Lead,Recommended (MVP bias),2026-03-02
