Decision_Area,Decision_Node,Option,Pros,Cons,Risks,Irreversibility_Level,Evidence/Links,Prototype_To_Validate,Owner,Status,Decision_Date
Product,Surface model for MVP,Planner-only MVP,Fastest delivery and clear focus,No Studio learning in MVP,May miss complex planning needs,Medium,docs/constitution/02-product.md;docs/constitution/04-frontend.md,Prototype Today and Week flows with 5 users,Product Lead,Open,
Product,Surface model for MVP,Planner plus minimal Studio pointers,Validates both surfaces with controlled scope,More build complexity than Planner-only,Scope creep into canvas features,Medium,docs/constitution/02-product.md;docs/constitution/04-frontend.md,Prototype Planner plus pointer-only canvas flow,Product Lead,Open,
Product,Surface model for MVP,Full dual-surface day one,Maximum concept validation,Highest engineering and UX load,Delayed launch and quality erosion,High,docs/constitution/02-product.md;docs/constitution/04-frontend.md,End-to-end clickable prototype and feasibility spike,Product Lead,Open,
Product,Core-loop strictness,Hard sequence gates,Strong loop adherence and cleaner metrics,Can feel rigid for power users,Drop-off if users reject mandatory order,Medium,docs/constitution/01-core.md;docs/constitution/02-product.md,Usability test on constrained loop completion,Product Lead,Open,
Product,Core-loop strictness,Guided prompts with soft exits,Balanced guidance and autonomy,Needs careful prompt and state design,Inconsistent usage if prompts are weak,Medium,docs/constitution/01-core.md;docs/constitution/02-product.md,Prototype guided flow with recovery prompts,Product Lead,Open,
Product,Core-loop strictness,Freeform navigation with optional loop widgets,Maximum flexibility for varied workflows,Weak default habit formation,Lowers measurable loop adherence,Medium,docs/constitution/01-core.md;docs/constitution/02-product.md,User test freeform mode against adherence KPIs,Product Lead,Open,
Product,Object-model strictness,Strict first-class objects only,Highest consistency and lower data drift,Lower customization ceiling,Power users may feel constrained,High,docs/constitution/01-core.md;docs/constitution/02-product.md,Schema spike and ADR draft,Product Lead,Open,
Product,Object-model strictness,First-class objects plus limited custom fields,Adds practical flexibility with governance,Needs migration and validation rules,Schema complexity grows over time,High,docs/constitution/01-core.md;docs/constitution/02-product.md,Prototype custom fields on Task and Goal,Product Lead,Open,
Product,Object-model strictness,User-defined object types,Maximum extensibility,High complexity and support burden,Everything-app sprawl and model fragmentation,High,docs/constitution/01-core.md;docs/constitution/02-product.md,Feasibility spike with governance model,Product Lead,Open,
Product,Collaboration rollout scope,Solo-first MVP only,Lower risk and faster MVP,No early collaboration validation,Later redesign cost for sharing primitives,Medium,docs/constitution/02-product.md;docs/constitution/05-backend.md,Solo metrics baseline experiment,Product Lead,Open,
Product,Collaboration rollout scope,Role-based sharing in V1,Validates household and small-team use cases,Requires auth and permission groundwork,Permission bugs can harm trust,High,docs/constitution/02-product.md;docs/constitution/05-backend.md,Permissions spike with owner editor viewer flows,Product Lead,Open,
Product,Collaboration rollout scope,Realtime co-editing in MVP,Strong collaboration differentiator,Large scope and infrastructure load,Conflict and security failure modes,High,docs/constitution/02-product.md;docs/constitution/05-backend.md,Realtime proof-of-concept with conflict tests,Product Lead,Open,
Design,Token posture,DTCG-aligned semantic tokens now,Best long-term portability and consistency,Higher setup and tooling overhead,Slowdown if pipeline is overengineered,High,docs/constitution/03-design.md;docs/constitution/04-frontend.md;https://www.designtokens.org/TR/drafts/,Two-theme token pipeline spike,Design Lead,Open,
Design,Token posture,Semantic tokens internal format first,Faster initial delivery and still structured,Future migration to standard format,Token debt if naming drifts,Medium,docs/constitution/03-design.md;docs/constitution/04-frontend.md,Internal token naming audit and pilot theme,Design Lead,Open,
Design,Token posture,Raw CSS variables without token governance,Fastest start for early mocks,Weak semantic consistency and reuse,High design-code drift risk,High,docs/constitution/03-design.md;docs/constitution/04-frontend.md,Prototype and measure refactor effort,Design Lead,Open,
Design,Accessibility baseline and gates,WCAG 2.2 AA with CI checks,Strong quality floor and early defect capture,Requires CI setup and discipline,Initial velocity can dip,High,docs/constitution/03-design.md;docs/constitution/04-frontend.md;https://www.w3.org/TR/WCAG22/,Axe CI plus keyboard walkthrough tests,Design Lead,Open,
Design,Accessibility baseline and gates,WCAG 2.2 AA manual audits only,Lower tooling burden,Inconsistent coverage between releases,Critical issues may ship unnoticed,Medium,docs/constitution/03-design.md;docs/constitution/04-frontend.md;https://www.w3.org/TR/WCAG22/,Manual audit checklist on top workflows,Design Lead,Open,
Design,Accessibility baseline and gates,Accessibility uplift post-MVP,Maximum short-term speed,Deferred quality and compliance debt,High remediation cost and trust risk,High,docs/constitution/03-design.md;docs/constitution/04-frontend.md;https://www.w3.org/TR/WCAG22/,Post-MVP remediation estimation spike,Design Lead,Open,
Design,Component taxonomy breadth,Lean taxonomy for Planner-first MVP,Faster component delivery and easier governance,May miss edge components later,Rework when expanding surfaces,Medium,docs/constitution/03-design.md;https://www.component.gallery/components/,MVP component inventory and gap test,Design Lead,Open,
Design,Component taxonomy breadth,Full taxonomy from doctrine,Better long-term coverage and consistency,Slower to implement upfront,Overbuilding before usage signal,Medium,docs/constitution/03-design.md;https://www.uiguideline.com/components,Effort estimate against release timeline,Design Lead,Open,
Design,Component taxonomy breadth,Kit-driven ad hoc taxonomy,Rapid prototype assembly,Weak ownership and uneven semantics,Inconsistent UX and maintenance burden,High,docs/constitution/03-design.md;https://www.uiguideline.com/kits,Compare kit output against doctrine taxonomy,Design Lead,Open,
Design,UI kit adoption policy,Kits for exploration only with in-house production components,Fast ideation without long-term lock-in,Needs deliberate handoff to production library,Prototype to production drift risk,Medium,docs/constitution/03-design.md;https://www.uiguideline.com/kits,Design sprint on two core Planner journeys,Design Lead,Open,
Design,UI kit adoption policy,Kits as production base,Very fast path to visual completeness,Brand and behavior constraints from vendor kit,Lock-in and future override costs,High,docs/constitution/03-design.md;https://www.uiguideline.com/kits/untitled-ui,Production pilot with one kit and debt log,Design Lead,Open,
Design,UI kit adoption policy,No kit usage,Maximum design-system ownership,Slowest prototyping throughput,Risk of delayed validation cycles,Medium,docs/constitution/03-design.md;https://www.uiguideline.com/kits,Baseline speed benchmark without kits,Design Lead,Open,
Tech Stack,Frontend archetype,Next.js server-first React,Large ecosystem and fullstack path,Caching and boundary complexity,Stale data and architecture confusion,High,docs/constitution/04-frontend.md,Vertical slice benchmark on Today route and Inbox,Engineering Lead,Open,
Tech Stack,Frontend archetype,Remix progressive enhancement,Strong web fundamentals and form reliability,Smaller pattern standardization for complex state,Needs internal conventions for app shell complexity,High,docs/constitution/04-frontend.md,Vertical slice with offline-safe form flows,Engineering Lead,Open,
Tech Stack,Frontend archetype,SvelteKit compiler-led,Responsive UX and potentially smaller bundles,Team adoption and hiring shift,Migration risk if ecosystem fit is weak,High,docs/constitution/04-frontend.md,Vertical slice with Planner and minimal Studio route,Engineering Lead,Open,
Tech Stack,Backend architecture pattern,Modular monolith,Fast coherent delivery and simpler ops,Requires strict module boundaries,Monolith entropy if governance slips,High,docs/constitution/05-backend.md,Complexity and operability scorecard spike,Engineering Lead,Open,
Tech Stack,Backend architecture pattern,Serverless-first composition,Low infra ops and elastic scaling,Runtime and vendor constraints,Cold starts and distributed debugging pain,High,docs/constitution/05-backend.md,Load and latency spike on critical APIs,Engineering Lead,Open,
Tech Stack,Backend architecture pattern,Early microservices,Independent scaling per domain,High coordination and platform overhead,Premature complexity for current team size,High,docs/constitution/05-backend.md,Service boundary simulation and on-call model,Engineering Lead,Open,
Tech Stack,Data and auth platform combo,Postgres plus ORM plus managed auth,Portability and strong relational integrity,More integration work than all-in-one stacks,Longer setup before feature velocity,High,docs/constitution/05-backend.md,Auth and permissions proof-of-concept with RLS model,Engineering Lead,Open,
Tech Stack,Data and auth platform combo,Supabase integrated stack,Fast integrated build with Postgres core,Platform coupling and SDK dependence,Migration friction if requirements diverge,High,docs/constitution/05-backend.md,Prototype auth realtime and offline queue replay,Engineering Lead,Open,
Tech Stack,Data and auth platform combo,Firebase Firestore plus Firebase Auth,Strong realtime and offline primitives,Query and modeling constraints for relational needs,Vendor lock-in and cost unpredictability,High,docs/constitution/05-backend.md,Prototype collaborative updates and data query workload,Engineering Lead,Open,
Tech Stack,Offline and canvas posture,Offline queue first and canvas minimal V1,Protects Planner reliability and fast re-entry,Slower canvas ambition,Perception of limited Studio value early,High,docs/constitution/04-frontend.md;docs/constitution/05-backend.md,Offline capture replay and sync freshness test,Engineering Lead,Open,
Tech Stack,Offline and canvas posture,Offline minimum plus canvas MVP now,Validates two strategic bets early,Raises execution complexity and perf risk,Planner performance regressions,High,docs/constitution/04-frontend.md;docs/constitution/05-backend.md,Dual-route performance and reliability spike,Engineering Lead,Open,
Tech Stack,Offline and canvas posture,Online-first Planner now with offline later,Fastest initial launch path,Violates fast re-entry resilience intent,Higher rework and trust risk post-launch,High,docs/constitution/04-frontend.md;docs/constitution/05-backend.md,Post-launch retrofit effort estimate,Engineering Lead,Open,
Competitive Positioning,Nova-Influence Loop Integration,Integrate Reflective Review in Review phase,Adds emotional support without changing core loop,Needs careful prompt calibration,Risk of shallow prompts that feel cosmetic,Medium,docs/constitution/01-core.md;docs/constitution/02-product.md;https://nova.lightmode.io/,Review prompt A B test on completion and re-entry,Product Lead,Open,
Competitive Positioning,Nova-Influence Loop Integration,Integrate reflection in Review and Clarify handoff,Can improve planning quality and emotional continuity,More workflow complexity across two stages,Risk of added friction in daily planning,Medium,docs/constitution/01-core.md;docs/constitution/02-product.md;https://nova.lightmode.io/,Prototype dual-stage reflection and measure drop-off,Product Lead,Open,
Competitive Positioning,Nova-Influence Loop Integration,Do not integrate Nova-like reflection patterns,Protects strict execution focus and simplicity,Misses emotional UX differentiation,Lower return motivation for reflection-driven users,Low,docs/constitution/01-core.md;docs/constitution/02-product.md;https://nova.lightmode.io/,Control cohort without reflective prompts,Product Lead,Open,
